Sherlock	NNP
Holmes	NNP
become	VB
widely	RB
popular	JJ
in	IN
1891	CD
.	.
His	PRP$
popularity	NN
became	VBD
widespread	JJ
with	IN
the	DT
first	NN
series	NN
of	IN
short	JJ
stories	NNS
in	IN
The	NNP
Strand	NNP
Magazine	NNP
,	,
beginning	VBG
with	IN
"	"
A	DT
Scandal	NN
in	IN
Bohemia	NNP
"	"
.	.
All	DT
but	CC
one	CD
are	VBP
set	VBN
in	IN
the	DT
Victorian	NNP
or	CC
Edwardian	NNP
eras	NNS
,	,
between	IN
about	IN
1880	CD
and	CC
1914	CD
.	.
Most	JJS
are	VBP
narrated	VBN
by	IN
the	DT
character	NN
of	IN
Holmes	NNP
's	POS
friend	NN
and	CC
biographer	NN
Dr	NNP
.	.
John	NNP
H	NNP
.	.
Watson	NNP
,	,
who	WP
usually	RB
accompanies	VBZ
Holmes	NNP
during	IN
his	PRP$
investigations	NNS
and	CC
often	RB
shares	VBZ
quarters	NNS
with	IN
him	PRP
at	IN
the	DT
address	NN
of	IN
221	CD
B	CD
Baker	NNP
Street	NNP
,	,
London	NNP
,	,
where	WRB
many	JJ
of	IN
the	DT
stories	NNS
begin	VBP
.	.

