The	O
Little	O
Prince	O
is	O
a	O
novella	O
by	O
French	O
aristocrat	O
,	O
writer	O
,	O
and	O
aviator	O
Antoine	O
de	O
Saint	O
-	O
Exupéry	O
.	O
It	O
was	O
first	O
published	O
in	O
English	O
and	O
French	O
in	O
the	O
US	O
by	O
Reynal	O
&	O
Hitchcock	O
in	O
April	O
1943	O
,	O
and	O
posthumously	O
in	O
France	O
following	O
the	O
liberation	O
of	O
France	O
as	O
Saint	O
-	O
ry	O
's	O
works	O
had	O
been	O
banned	O
by	O
the	O
Vichy	O
Regime	O
.	O
The	O
story	O
follows	O
a	O
young	O
prince	O
who	O
visits	O
various	O
planets	O
in	O
space	O
,	O
including	O
Earth	O
,	O
and	O
addresses	O
themes	O
of	O
loneliness	O
,	O
friendship	O
,	O
love	O
,	O
and	O
loss	O
.	O
Despite	O
its	O
style	O
as	O
a	O
children	O
's	O
book	O
,	O
The	O
Little	O
Prince	O
makes	O
poignant	O
observations	O
about	O
life	O
and	O
human	O
nature	O
.	O

The	O
Little	O
Prince	O
became	O
Saint	O
-	O
ry	O
's	O
most	O
successful	O
work	O
,	O
selling	O
an	O
estimated	O
140	O
million	O
copies	O
worldwide	O
,	O
which	O
makes	O
it	O
one	O
of	O
the	O
best	O
-	O
selling	O
and	O
most	O
translated	O
books	O
ever	O
published	O
.	O
It	O
has	O
been	O
translated	O
into	O
361	O
languages	O
and	O
dialects	O
.	O
The	O
Little	O
Prince	O
has	O
been	O
adapted	O
to	O
numerous	O
art	O
forms	O
and	O
media	O
,	O
including	O
audio	O
recordings	O
,	O
radio	O
plays	O
,	O
live	O
stage	O
,	O
film	O
,	O
television	O
,	O
ballet	O
,	O
and	O
opera	O
.	O

